road_link_id,from_node_id,to_node_id,time_period,volume,CA,CD,queue,travel_time,speed,notes
1003,1,3,0852:00_0853:00,0.000,4098.000,162.000,3936.000,3936.100,0.000,simulation-based
1003,1,3,0853:00_0854:00,0.000,4098.000,162.000,3936.000,3936.100,0.000,simulation-based
1003,1,3,0854:00_0855:00,1.000,4098.000,163.000,3935.000,3935.100,0.000,simulation-based
1003,1,3,0855:00_0856:00,1.000,4098.000,164.000,3934.000,3934.100,0.000,simulation-based
1003,1,3,0856:00_0857:00,0.000,4098.000,164.000,3934.000,3934.100,0.000,simulation-based
1003,1,3,0857:00_0858:00,2.000,4098.000,166.000,3932.000,1966.100,0.000,simulation-based
1003,1,3,0858:00_0859:00,2.000,4098.000,168.000,3930.000,1965.100,0.000,simulation-based
1003,1,3,0859:00_0900:00,1.000,4098.000,169.000,3929.000,3929.100,0.000,simulation-based
3002,3,2,0700:00_0701:00,0.000,0.000,0.000,0.000,0.000,60.000,simulation-based
3002,3,2,0701:00_0702:00,0.000,2.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0702:00_0703:00,0.000,4.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0703:00_0704:00,0.000,5.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0704:00_0705:00,0.000,5.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0705:00_0706:00,0.000,8.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0706:00_0707:00,0.000,10.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0707:00_0708:00,0.000,12.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0708:00_0709:00,0.000,12.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0709:00_0710:00,0.000,14.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0710:00_0711:00,0.000,14.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0711:00_0712:00,0.000,16.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0712:00_0713:00,0.000,18.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0713:00_0714:00,0.000,21.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0714:00_0715:00,0.000,22.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0715:00_0716:00,0.000,23.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0716:00_0717:00,0.000,25.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0717:00_0718:00,0.000,25.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0718:00_0719:00,0.000,26.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0719:00_0720:00,0.000,26.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0720:00_0721:00,0.000,27.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0721:00_0722:00,0.000,29.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0722:00_0723:00,0.000,30.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0723:00_0724:00,0.000,34.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0724:00_0725:00,0.000,36.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0725:00_0726:00,0.000,38.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0726:00_0727:00,0.000,40.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0727:00_0728:00,0.000,41.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0728:00_0729:00,0.000,41.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0729:00_0730:00,0.000,42.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0730:00_0731:00,0.000,46.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0731:00_0732:00,0.000,47.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0732:00_0733:00,0.000,48.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0733:00_0734:00,0.000,48.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0734:00_0735:00,0.000,49.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0735:00_0736:00,0.000,52.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0736:00_0737:00,0.000,55.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0737:00_0738:00,0.000,55.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0738:00_0739:00,0.000,57.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0739:00_0740:00,0.000,59.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0740:00_0741:00,0.000,60.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0741:00_0742:00,0.000,61.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0742:00_0743:00,0.000,64.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0743:00_0744:00,0.000,65.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0744:00_0745:00,0.000,66.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0745:00_0746:00,0.000,69.000,0.000,0.000,45.000,60.000,simulation-based
3002,3,2,0746:00_0747:00,2.000,72.000,2.000,0.000,45.000,60.000,simulation-based
3002,3,2,0747:00_0748:00,2.000,73.000,4.000,0.000,45.000,60.000,simulation-based
3002,3,2,0748:00_0749:00,1.000,75.000,5.000,0.000,45.000,60.000,simulation-based
3002,3,2,0749:00_0750:00,0.000,75.000,5.000,0.000,45.000,60.000,simulation-based
3002,3,2,0750:00_0751:00,3.000,77.000,8.000,0.000,45.000,60.000,simulation-based
3002,3,2,0751:00_0752:00,1.000,78.000,9.000,1.000,46.000,58.696,simulation-based
3002,3,2,0752:00_0753:00,2.000,80.000,11.000,1.000,45.500,59.341,simulation-based
